tm,stn,ta_avg,ta_max,ta_min,hm_avg,ws_avg,rn_day,ss_day,si_day
2010-01-01,105,-3.1,2.5,-9.0,32.8,3.6,,8.5,9.45
2010-01-02,105,0.1,2.9,-2.9,74.9,2.3,2.5,0.7,3.31
2010-01-03,105,-2.6,2.0,-6.0,44.5,3.0,,8.7,10.26
2010-01-04,105,-2.6,-0.1,-4.3,76.4,2.3,13.5,0.0,0.65
2010-01-05,105,-5.0,-1.7,-7.7,50.0,4.8,0.0,8.2,7.04
2010-01-06,105,-6.4,-0.8,-9.1,44.0,4.3,,8.9,10.86
2010-01-07,105,-3.8,2.7,-9.1,57.6,4.2,,3.1,7.96
2010-01-08,105,-1.5,5.6,-5.9,48.3,3.7,,9.0,10.31
2010-01-09,105,-1.1,2.8,-4.8,49.9,2.8,,0.0,4.44
2010-01-10,105,-0.2,5.5,-3.8,55.5,3.0,,7.6,9.12
2010-01-11,105,-0.3,4.5,-2.7,47.8,4.3,,2.8,7.3
2010-01-12,105,-5.0,-2.2,-8.3,33.9,5.5,,7.2,10.46
2010-01-13,105,-8.8,-4.9,-11.5,33.8,5.6,,9.0,11.33
2010-01-14,105,-4.7,1.3,-11.2,34.4,4.2,,8.9,10.82
2010-01-15,105,-1.2,4.5,-6.0,48.4,2.7,,8.4,9.97
2010-01-16,105,-1.5,4.5,-5.5,45.1,2.5,,9.1,11.21
2010-01-17,105,-0.8,4.3,-4.3,42.0,2.4,,8.9,10.68
2010-01-18,105,4.1,11.1,-1.7,48.3,2.9,,7.8,10.05
2010-01-19,105,5.8,14.5,-3.2,55.4,2.0,,5.3,9.22
2010-01-20,105,9.5,12.7,6.3,87.9,1.7,5.5,0.0,1.87
2010-01-21,105,2.2,6.4,-1.1,81.5,2.2,14.0,1.0,5.0
2010-01-22,105,-2.4,0.8,-4.1,35.3,5.9,,5.8,9.18
2010-01-23,105,-1.1,3.2,-5.2,29.5,5.8,,9.3,12.49
2010-01-24,105,2.1,5.4,-1.7,43.1,5.8,,7.3,11.37
2010-01-25,105,3.5,7.6,-1.5,32.8,4.7,,8.3,11.13
2010-01-26,105,0.7,5.8,-3.7,27.8,4.8,,9.4,12.85
2010-01-27,105,6.6,12.4,-0.3,35.0,3.2,0.1,4.0,8.97
2010-01-28,105,5.0,10.5,0.1,46.9,3.7,,9.0,11.99
2010-01-29,105,0.5,4.1,-3.8,35.4,5.7,,9.2,12.66
2010-01-30,105,3.6,7.4,0.9,42.1,4.7,,1.0,3.87
2010-01-31,105,4.8,10.5,1.9,51.5,2.8,,5.4,10.1
2010-02-01,105,1.2,4.5,-0.5,73.4,2.6,0.2,0.0,3.5
2010-02-02,105,-0.8,4.2,-5.1,29.1,3.8,,9.5,13.62
2010-02-03,105,-4.2,1.5,-8.0,23.9,4.9,,9.6,13.84
2010-02-04,105,-2.3,2.2,-6.4,29.3,3.9,,9.4,13.72
2010-02-05,105,-1.1,2.8,-4.7,22.6,3.4,,9.6,13.96
2010-02-06,105,-0.9,4.9,-4.8,30.9,2.2,,9.8,14.39
2010-02-07,105,3.6,9.7,-4.9,26.6,2.5,,6.7,12.58
2010-02-08,105,7.4,11.6,2.7,51.1,1.8,,0.1,3.87
2010-02-09,105,4.8,9.9,1.0,82.1,1.7,10.0,0.0,1.65
2010-02-10,105,1.8,3.1,0.4,97.4,1.1,18.5,0.0,1.76
2010-02-11,105,-0.1,1.1,-1.3,95.8,1.9,28.5,0.0,0.5
2010-02-12,105,-1.7,-0.5,-2.4,96.6,1.3,33.5,0.0,0.43
2010-02-13,105,-0.6,3.9,-3.3,77.3,1.5,0.1,6.1,13.46
2010-02-14,105,-0.5,3.2,-3.6,60.8,2.7,,0.0,9.32
2010-02-15,105,-0.9,3.2,-3.5,68.5,2.9,0.5,2.9,11.18
2010-02-16,105,-1.8,1.7,-4.7,84.8,1.9,2.0,2.4,9.53
2010-02-17,105,-1.4,2.9,-6.0,49.3,2.8,,3.9,11.6
2010-02-18,105,-0.3,3.4,-3.4,45.8,3.8,,9.2,15.36
2010-02-19,105,0.5,4.7,-3.9,44.3,3.3,,8.2,13.36
2010-02-20,105,2.3,6.7,-1.9,55.8,2.3,,9.7,15.71
2010-02-21,105,3.8,12.7,-4.1,63.0,1.7,,8.1,14.66
2010-02-22,105,7.3,13.3,0.2,54.1,3.3,,6.3,12.79
2010-02-23,105,8.8,17.7,3.7,43.8,2.4,,9.5,15.56
2010-02-24,105,13.8,20.8,5.3,38.4,1.9,,7.6,14.34
2010-02-25,105,12.4,21.4,6.3,75.9,2.2,0.1,0.1,4.46
2010-02-26,105,4.9,6.3,4.3,91.5,1.7,1.0,0.0,2.05
2010-02-27,105,4.5,5.3,3.5,84.5,1.5,0.3,0.0,1.55
2010-02-28,105,7.5,12.9,0.5,67.6,2.7,,6.7,14.24
2010-03-01,105,1.7,7.3,0.1,94.4,2.1,43.0,0.0,1.3
2010-03-02,105,2.3,4.9,0.2,85.4,1.3,0.5,0.1,5.3
2010-03-03,105,3.2,7.5,-1.3,71.4,1.8,,3.6,10.73
2010-03-04,105,2.0,2.6,1.2,93.4,1.1,6.5,0.0,1.38
2010-03-05,105,5.1,8.5,2.2,89.1,1.0,3.0,0.0,6.42
2010-03-06,105,2.4,5.3,0.9,90.5,1.6,9.0,0.0,1.15
2010-03-07,105,0.5,1.3,-0.1,97.5,1.2,13.5,0.0,2.14
2010-03-08,105,0.4,1.5,-0.1,96.8,0.9,19.1,0.0,2.62
2010-03-09,105,0.6,3.0,-0.4,96.1,0.7,14.5,0.0,4.8
2010-03-10,105,0.7,2.3,-1.2,78.4,2.2,15.0,2.0,11.19
2010-03-11,105,4.0,8.1,0.0,44.3,4.9,,10.8,20.79
2010-03-12,105,8.9,14.6,2.7,48.5,5.1,,7.6,16.99
2010-03-13,105,4.8,10.2,0.2,53.4,2.5,,10.3,19.87
2010-03-14,105,4.1,9.4,-1.1,73.4,1.3,,1.8,10.45
2010-03-15,105,5.6,10.7,3.4,79.3,1.7,3.5,0.4,4.46
2010-03-16,105,4.0,7.3,1.1,28.4,5.0,,10.4,20.08
2010-03-17,105,2.8,6.5,-0.7,38.4,2.8,,5.4,14.57
2010-03-18,105,2.1,4.9,-1.2,54.6,2.2,,8.2,18.04
2010-03-19,105,7.5,13.5,0.8,39.6,5.1,,7.2,15.84
2010-03-20,105,8.4,12.7,5.6,63.6,3.8,1.5,2.3,8.5
2010-03-21,105,5.4,9.8,1.6,36.1,5.0,0.1,10.9,20.8
2010-03-22,105,5.7,7.3,3.5,50.6,3.0,,0.0,3.78
2010-03-23,105,7.7,12.0,5.1,55.9,2.1,,4.0,14.67
2010-03-24,105,6.6,10.5,2.8,67.1,2.2,,4.4,15.29
2010-03-25,105,1.6,5.7,-0.8,92.5,1.6,31.0,0.0,2.2
2010-03-26,105,2.7,6.5,-2.8,45.3,3.8,,8.8,20.76
2010-03-27,105,1.3,4.4,0.6,92.9,1.1,12.0,0.0,2.62
2010-03-28,105,2.5,5.2,0.2,84.8,1.9,,0.5,8.09
2010-03-29,105,3.1,6.8,0.0,73.1,2.1,,3.0,11.96
2010-03-30,105,7.6,15.3,-2.2,59.5,1.4,,8.4,18.61
2010-03-31,105,10.0,13.5,7.6,71.1,1.4,0.3,0.0,7.28
2010-04-01,105,11.3,14.5,7.5,62.9,3.0,0.2,0.0,3.76
2010-04-02,105,8.7,13.2,3.9,30.3,4.3,0.0,9.7,22.14
2010-04-03,105,7.2,11.2,2.1,29.0,2.6,,11.1,23.16
2010-04-04,105,11.5,17.8,4.2,35.3,2.4,,8.5,19.16
2010-04-05,105,11.4,16.0,6.3,38.5,2.2,,9.2,21.65
2010-04-06,105,5.6,10.3,3.5,80.4,2.2,3.5,0.5,6.9
2010-04-07,105,4.1,8.9,1.4,80.1,2.0,5.0,2.9,14.17
2010-04-08,105,10.3,15.9,0.2,51.5,2.3,,11.1,23.1
2010-04-09,105,15.4,22.8,9.1,33.6,3.1,,9.7,22.17
2010-04-10,105,14.6,18.7,10.4,45.4,2.8,,0.3,7.55
2010-04-11,105,9.8,12.5,7.0,71.9,2.3,,6.2,17.94
2010-04-12,105,9.6,12.1,8.3,78.8,1.7,0.1,0.1,8.85
2010-04-13,105,7.7,12.6,2.8,44.3,5.2,0.1,9.6,24.26
2010-04-14,105,5.7,9.9,1.6,29.0,2.9,,6.3,18.94
2010-04-15,105,6.1,10.9,1.9,40.5,2.4,,11.2,26.12
2010-04-16,105,7.9,13.7,0.2,43.9,1.9,,11.4,24.57
2010-04-17,105,10.6,16.5,4.1,34.9,2.6,,8.1,21.3
2010-04-18,105,12.2,16.1,5.2,53.6,1.6,,0.5,14.29
2010-04-19,105,13.9,20.8,9.5,56.5,1.4,,1.1,14.39
2010-04-20,105,10.0,13.0,8.0,81.9,1.6,,2.4,13.0
2010-04-21,105,9.2,11.4,7.7,83.6,1.4,5.5,0.0,5.69
2010-04-22,105,7.7,9.5,6.9,89.3,1.2,8.5,0.0,3.76
2010-04-23,105,7.3,10.0,4.9,81.3,1.6,2.0,1.7,7.98
2010-04-24,105,11.9,16.6,4.5,48.6,3.0,,11.9,26.21
2010-04-25,105,15.8,21.1,10.6,30.9,3.0,,10.9,24.47
2010-04-26,105,14.2,20.3,11.4,59.8,2.4,3.0,0.5,10.78
2010-04-27,105,12.0,17.2,7.4,55.5,4.1,0.5,9.3,23.35
2010-04-28,105,8.6,12.1,6.3,49.5,4.7,0.0,1.4,10.27
2010-04-29,105,10.6,14.8,5.9,42.6,4.8,,6.3,16.96
2010-04-30,105,12.2,16.8,8.7,42.0,4.0,,8.7,20.04
2010-05-01,105,15.8,21.7,9.0,35.8,5.0,,10.7,25.21
2010-05-02,105,21.8,27.4,15.3,23.4,4.9,,11.8,24.96
2010-05-03,105,24.6,28.8,20.4,38.5,4.8,,1.4,12.51
2010-05-04,105,24.0,27.5,20.0,45.3,3.9,,1.4,14.49
2010-05-05,105,22.6,28.4,17.7,48.4,2.5,,4.1,17.78
2010-05-06,105,22.1,27.9,14.4,46.3,5.0,,6.4,20.9
2010-05-07,105,19.6,26.3,13.4,31.1,5.5,,12.3,28.31
2010-05-08,105,18.4,23.5,13.4,36.5,2.7,,11.9,25.79
2010-05-09,105,14.8,18.4,12.1,63.0,1.4,,5.6,21.58
2010-05-10,105,13.9,18.4,11.9,74.9,1.3,0.0,5.6,16.92
2010-05-11,105,9.6,12.4,7.4,87.5,2.7,8.0,0.0,6.96
2010-05-12,105,12.3,17.0,6.5,68.4,1.2,,11.6,27.87
2010-05-13,105,12.1,15.9,10.1,78.9,1.5,,3.5,15.91
2010-05-14,105,15.8,22.2,9.0,46.9,2.6,,12.6,28.96
2010-05-15,105,18.4,23.6,10.8,46.1,2.4,,3.7,18.26
2010-05-16,105,21.7,27.4,16.8,38.0,2.4,,11.4,28.12
2010-05-17,105,21.5,26.7,16.5,52.1,2.1,0.5,9.9,26.48
2010-05-18,105,15.8,18.7,14.0,94.6,1.1,16.0,0.0,2.91
2010-05-19,105,20.3,28.1,13.4,59.0,2.2,,5.3,19.81
2010-05-20,105,25.1,30.4,18.2,32.3,5.3,,12.3,27.93
2010-05-21,105,25.5,31.6,21.8,33.4,2.9,,10.8,27.82
2010-05-22,105,22.8,28.3,17.2,47.8,2.3,1.0,0.5,12.21
2010-05-23,105,13.9,17.2,12.4,98.0,2.9,78.0,0.0,1.55
2010-05-24,105,12.0,13.1,11.0,88.5,2.1,1.5,0.0,4.37
2010-05-25,105,12.8,16.5,9.9,85.0,1.7,4.0,0.0,10.1
2010-05-26,105,11.2,12.7,8.8,82.8,3.0,1.0,0.0,6.43
2010-05-27,105,13.2,17.9,7.7,67.3,1.7,,10.6,26.94
2010-05-28,105,15.6,21.5,9.2,73.5,1.0,,0.9,16.07
2010-05-29,105,13.8,16.9,11.8,84.3,1.3,,0.2,9.77
2010-05-30,105,14.0,17.7,9.6,75.5,1.5,,11.4,29.18
2010-05-31,105,13.0,18.3,8.1,70.0,1.8,,8.2,23.63
2010-06-01,105,14.6,20.9,7.7,54.5,1.9,,12.2,30.35
2010-06-02,105,16.8,23.6,8.0,57.1,1.4,,12.0,29.57
2010-06-03,105,20.2,26.6,11.6,54.4,1.4,,11.8,28.49
2010-06-04,105,22.4,28.9,14.6,54.9,1.4,,12.1,27.72
2010-06-05,105,23.5,29.1,19.7,54.9,2.6,,10.5,25.56
2010-06-06,105,23.2,30.2,17.5,61.1,1.4,,8.3,23.25
2010-06-07,105,19.8,24.2,16.3,71.3,1.2,,7.4,22.01
2010-06-08,105,19.2,23.5,14.5,63.6,1.8,,12.1,28.41
2010-06-09,105,22.0,29.2,14.5,53.6,1.6,,12.1,27.94
2010-06-10,105,22.4,29.6,16.4,49.3,1.6,,9.4,27.51
2010-06-11,105,19.0,23.1,14.3,71.0,1.3,,8.7,24.87
2010-06-12,105,18.3,21.3,15.3,85.4,0.9,0.5,0.0,9.21
2010-06-13,105,20.1,23.6,16.4,79.0,1.2,,5.0,20.92
2010-06-14,105,20.9,24.6,18.3,82.3,1.2,0.1,3.7,17.16
2010-06-15,105,21.6,25.4,19.0,85.3,1.1,8.0,3.6,16.42
2010-06-16,105,24.9,29.0,19.1,63.9,1.9,,7.2,21.41
2010-06-17,105,25.8,29.9,21.8,59.5,2.4,,0.6,15.48
2010-06-18,105,23.3,27.2,20.4,79.3,1.4,,6.3,22.83
2010-06-19,105,23.7,26.9,20.8,77.5,1.3,,3.0,16.54
2010-06-20,105,25.0,29.6,20.1,65.8,2.2,2.5,6.5,20.66
2010-06-21,105,24.1,29.2,19.5,70.5,1.6,,11.7,27.89
2010-06-22,105,23.7,29.8,19.8,58.6,2.1,,6.2,18.42
2010-06-23,105,21.9,26.5,16.4,50.8,1.8,,12.1,29.88
2010-06-24,105,24.2,29.1,18.0,45.5,2.0,,12.1,28.88
2010-06-25,105,24.4,29.8,19.0,58.8,1.8,,9.2,26.6
2010-06-26,105,20.7,21.7,19.8,91.4,1.4,10.5,0.0,3.92
2010-06-27,105,21.3,24.2,19.7,89.1,0.9,11.5,0.1,10.63
2010-06-28,105,24.9,29.8,19.4,68.1,1.6,,7.8,23.54
2010-06-29,105,24.9,28.5,21.5,70.6,1.9,0.1,5.6,20.95
2010-06-30,105,22.9,25.3,21.5,88.1,1.1,1.5,0.0,7.62
2010-07-01,105,23.2,25.2,21.7,86.9,1.0,3.0,0.0,10.95
2010-07-02,105,22.2,23.4,21.3,94.8,0.8,9.5,0.0,3.07
2010-07-03,105,21.8,22.5,21.0,96.1,1.5,7.5,0.0,3.26
2010-07-04,105,22.1,24.2,20.8,92.6,0.9,2.0,0.0,7.87
2010-07-05,105,24.1,28.7,20.6,84.4,1.3,2.0,3.7,16.04
2010-07-06,105,24.4,30.9,20.1,75.8,1.7,6.0,8.0,24.02
2010-07-07,105,21.1,22.5,20.0,89.0,1.2,1.0,0.0,4.23
2010-07-08,105,21.3,23.2,19.0,85.0,1.4,,0.0,10.32
2010-07-09,105,23.2,28.1,19.6,81.6,1.4,9.0,4.7,17.32
2010-07-10,105,23.0,26.2,19.9,84.0,1.5,,2.7,16.35
2010-07-11,105,20.5,22.5,19.2,96.1,1.1,29.0,0.0,3.36
2010-07-12,105,22.4,26.3,18.8,80.8,1.8,,5.3,22.82
2010-07-13,105,22.4,25.9,19.9,83.1,1.8,,4.3,18.7
2010-07-14,105,22.0,26.0,18.0,79.5,1.6,,4.6,17.94
2010-07-15,105,22.4,26.1,18.2,81.4,1.6,,2.1,15.64
2010-07-16,105,23.6,26.8,20.3,84.0,1.1,1.0,0.6,14.03
2010-07-17,105,25.6,29.1,22.3,84.8,0.8,4.0,0.2,7.32
2010-07-18,105,29.6,34.5,23.8,57.4,2.0,,4.4,20.41
2010-07-19,105,29.3,32.8,26.8,58.0,1.6,,4.6,15.69
2010-07-20,105,29.7,34.0,24.5,60.6,1.9,,11.3,25.68
2010-07-21,105,30.7,36.0,24.1,57.0,2.6,,10.1,24.9
2010-07-22,105,30.7,34.0,27.9,55.5,2.9,,7.3,19.54
2010-07-23,105,28.2,29.7,26.4,60.9,3.3,1.0,0.0,4.92
2010-07-24,105,28.5,32.7,25.5,61.5,2.7,1.0,3.8,16.09
2010-07-25,105,27.6,31.9,24.8,71.9,1.7,12.5,7.0,19.36
2010-07-26,105,29.6,33.2,26.6,54.3,3.6,,9.7,22.93
2010-07-27,105,30.7,34.8,27.7,48.9,3.4,,11.3,26.59
2010-07-28,105,29.5,33.3,25.7,55.5,2.8,,7.1,21.85
2010-07-29,105,30.0,34.1,27.1,59.8,2.4,,6.8,20.46
2010-07-30,105,29.3,33.5,25.3,65.1,1.9,,0.3,13.25
2010-07-31,105,31.2,33.9,28.9,50.6,4.6,,7.7,21.51
2010-08-01,105,29.9,35.2,25.5,61.6,3.4,,3.5,15.06
2010-08-02,105,23.5,25.5,22.5,92.4,1.4,4.5,0.0,2.68
2010-08-03,105,23.6,24.8,22.2,89.4,1.2,0.5,0.0,5.87
2010-08-04,105,26.7,31.0,22.1,82.0,1.0,,7.1,22.1
2010-08-05,105,30.9,37.1,25.2,65.9,1.6,,10.0,24.21
2010-08-06,105,29.8,34.9,27.3,68.6,2.1,0.5,1.8,12.15
2010-08-07,105,27.3,29.9,25.1,80.6,1.7,2.5,0.0,8.39
2010-08-08,105,27.4,31.6,23.5,72.5,1.7,,6.4,17.7
2010-08-09,105,28.2,33.9,24.0,70.0,1.8,,12.1,25.61
2010-08-10,105,26.4,28.9,24.2,85.5,1.0,13.5,1.5,8.16
2010-08-11,105,24.6,25.4,24.0,96.4,1.5,23.0,0.0,3.35
2010-08-12,105,25.2,27.1,23.6,79.6,1.8,0.2,0.0,7.8
2010-08-13,105,23.9,25.7,22.4,93.1,1.0,12.0,0.0,4.61
2010-08-14,105,26.8,31.4,22.7,84.1,1.5,3.0,0.3,10.0
2010-08-15,105,28.5,31.7,24.5,67.8,2.4,9.5,0.0,5.79
2010-08-16,105,26.1,28.6,23.7,70.0,1.8,0.5,0.0,4.85
2010-08-17,105,25.6,30.3,22.0,61.9,2.2,,9.9,24.11
2010-08-18,105,23.9,29.2,21.2,82.0,1.3,7.5,3.3,14.63
2010-08-19,105,25.6,29.0,23.5,82.4,1.1,,3.1,16.35
2010-08-20,105,28.1,33.5,24.0,78.1,1.2,,9.1,22.33
2010-08-21,105,30.6,36.1,26.3,61.8,2.3,,11.4,24.12
2010-08-22,105,31.0,36.0,26.8,57.9,2.8,,11.1,24.04
2010-08-23,105,29.4,33.6,26.8,65.0,1.7,,1.7,10.65
2010-08-24,105,25.6,28.9,23.0,83.8,1.3,7.5,0.0,6.08
2010-08-25,105,21.1,23.1,19.7,94.8,1.3,36.0,0.0,2.8
2010-08-26,105,22.2,23.9,20.8,96.8,1.0,33.0,0.0,3.85
2010-08-27,105,24.2,28.1,20.2,87.8,1.2,0.1,5.5,15.84
2010-08-28,105,25.1,27.1,23.4,90.9,1.0,0.1,0.0,5.65
2010-08-29,105,28.2,33.3,24.6,76.1,1.6,7.5,4.2,13.4
2010-08-30,105,27.0,31.2,24.1,72.8,1.9,0.5,2.1,12.43
2010-08-31,105,25.4,29.0,22.8,85.3,1.6,13.5,0.0,7.24
2010-09-01,105,25.4,29.8,23.5,83.0,1.8,0.5,5.1,15.57
2010-09-02,105,26.0,31.0,22.7,75.0,2.6,7.5,1.5,11.81
2010-09-03,105,26.7,30.4,23.5,70.4,1.7,,4.0,14.28
2010-09-04,105,25.7,29.2,22.1,80.4,1.1,,9.7,21.17
2010-09-05,105,26.7,31.9,22.7,74.0,2.2,27.5,8.1,19.06
2010-09-06,105,23.7,25.4,22.5,89.6,1.4,10.5,0.0,4.67
2010-09-07,105,22.1,23.8,20.0,86.3,2.0,,0.1,6.83
2010-09-08,105,20.0,23.1,17.4,66.8,2.0,,2.2,13.48
2010-09-09,105,19.9,22.7,17.3,73.8,1.3,1.5,0.1,6.42
2010-09-10,105,21.0,22.7,19.6,94.3,1.0,14.5,0.0,4.67
2010-09-11,105,20.4,21.7,19.6,94.9,1.1,44.0,0.0,3.91
2010-09-12,105,19.9,21.3,18.9,93.3,1.7,73.5,0.0,6.04
2010-09-13,105,20.7,23.8,19.1,87.5,1.1,0.5,0.7,8.6
2010-09-14,105,21.6,26.6,17.2,69.4,1.9,,9.7,20.95
2010-09-15,105,21.3,26.8,16.8,67.5,2.2,,10.9,21.58
2010-09-16,105,22.4,28.3,17.5,56.8,2.3,,10.8,21.41
2010-09-17,105,23.5,28.5,20.0,65.4,2.2,,7.2,17.23
2010-09-18,105,22.8,26.1,20.3,77.9,1.3,,2.4,13.71
2010-09-19,105,19.5,21.3,17.5,88.6,1.0,22.5,0.0,1.98
2010-09-20,105,20.9,24.3,17.7,86.3,1.0,0.5,2.5,10.24
2010-09-21,105,20.6,25.7,15.4,90.4,2.0,54.0,0.8,3.79
2010-09-22,105,15.2,15.9,14.5,91.8,1.6,13.5,0.0,2.78
2010-09-23,105,15.8,19.8,13.0,80.9,1.8,0.5,2.7,9.64
2010-09-24,105,16.5,22.2,11.4,66.5,2.8,,10.1,20.45
2010-09-25,105,16.4,21.5,13.0,73.3,2.3,,5.4,14.94
2010-09-26,105,17.3,23.1,12.9,70.4,2.4,,6.7,15.55
2010-09-27,105,20.1,25.1,14.7,62.1,2.0,,9.0,17.74
2010-09-28,105,17.7,21.8,12.1,49.3,3.0,,9.2,19.85
2010-09-29,105,14.8,18.8,10.3,62.0,2.6,,0.8,11.37
2010-09-30,105,15.5,20.6,11.0,60.8,2.7,,10.6,19.09
2010-10-01,105,16.3,22.1,12.0,66.5,2.5,,7.6,15.96
2010-10-02,105,17.7,21.0,13.1,84.5,1.2,11.5,0.5,6.04
2010-10-03,105,19.4,23.5,16.7,67.4,3.5,3.0,2.7,9.34
2010-10-04,105,17.0,21.3,14.9,58.5,3.5,,6.3,15.07
2010-10-05,105,15.6,19.6,12.8,73.5,2.3,0.0,5.8,14.12
2010-10-06,105,17.1,23.0,12.6,69.0,2.5,,10.6,18.33
2010-10-07,105,17.3,23.3,13.1,71.1,2.2,,9.5,17.71
2010-10-08,105,17.3,21.2,14.6,83.3,1.7,0.5,1.2,9.58
2010-10-09,105,16.9,20.0,14.1,84.9,1.7,1.0,1.2,8.56
2010-10-10,105,17.6,23.7,12.1,74.6,1.5,,10.5,17.95
2010-10-11,105,18.3,22.6,13.7,70.3,1.9,,1.8,8.59
2010-10-12,105,19.5,25.4,15.5,61.1,2.4,,5.1,12.46
2010-10-13,105,15.1,16.4,13.8,89.3,1.9,6.0,0.0,1.51
2010-10-14,105,16.5,19.5,14.2,71.1,1.8,,5.5,12.26
2010-10-15,105,15.5,20.4,12.5,43.0,2.9,,9.4,17.02
2010-10-16,105,17.9,22.4,13.3,42.9,3.4,,9.5,16.19
2010-10-17,105,16.3,21.4,11.3,62.1,2.3,,6.1,11.71
2010-10-18,105,14.0,18.8,10.3,69.0,2.2,,8.8,14.89
2010-10-19,105,15.0,20.3,10.5,68.6,2.4,,6.0,12.0
2010-10-20,105,16.4,20.5,13.8,76.5,1.7,,4.4,11.55
2010-10-21,105,13.8,14.8,12.2,93.0,1.3,23.0,0.0,1.6
2010-10-22,105,14.7,20.6,10.9,77.4,2.2,,9.4,15.23
2010-10-23,105,15.0,21.3,9.7,71.4,2.1,,7.2,13.08
2010-10-24,105,17.0,21.2,13.0,65.1,1.5,,5.1,9.88
2010-10-25,105,13.4,17.3,8.6,76.5,2.4,3.5,0.0,2.42
2010-10-26,105,5.4,8.7,2.6,43.1,3.2,,9.9,16.01
2010-10-27,105,7.6,10.9,3.4,56.5,1.8,,1.8,8.29
2010-10-28,105,8.2,14.0,4.6,50.8,2.6,,9.8,15.59
2010-10-29,105,9.1,14.9,4.1,66.0,2.6,,7.3,12.45
2010-10-30,105,10.7,16.0,7.1,74.5,2.3,,3.3,9.91
2010-10-31,105,11.0,13.5,8.8,82.1,2.0,5.0,0.2,4.44
2010-11-01,105,12.2,17.4,7.9,59.0,2.3,,9.7,14.11
2010-11-02,105,9.0,12.4,6.5,36.9,2.5,,9.5,14.19
2010-11-03,105,9.7,15.6,4.2,27.5,3.6,,9.9,14.68
2010-11-04,105,12.9,17.0,10.2,47.0,3.3,,8.8,12.18
2010-11-05,105,14.7,19.9,11.0,41.4,3.1,,8.8,12.63
2010-11-06,105,15.9,20.8,12.4,42.3,3.5,,8.3,11.79
2010-11-07,105,14.7,20.3,9.9,45.5,2.7,,8.4,12.18
2010-11-08,105,10.2,13.9,5.0,49.6,4.8,,4.9,6.97
2010-11-09,105,5.1,9.5,2.4,34.5,5.0,,9.3,13.29
2010-11-10,105,6.8,12.4,1.3,29.1,3.1,,9.5,13.8
2010-11-11,105,10.4,15.4,5.5,52.0,3.1,12.0,6.0,10.16
2010-11-12,105,10.5,14.6,7.2,45.5,4.5,0.0,8.3,12.69
2010-11-13,105,13.5,18.3,6.3,33.8,3.4,,9.2,12.33
2010-11-14,105,10.3,14.8,7.3,55.4,2.3,,1.5,6.2
2010-11-15,105,5.2,8.3,0.4,30.6,2.1,,9.3,12.96
2010-11-16,105,6.5,11.9,1.4,34.5,2.4,,8.9,12.36
2010-11-17,105,6.9,11.7,3.6,54.9,2.4,,7.4,10.29
2010-11-18,105,7.7,13.6,3.7,53.8,2.7,,8.9,11.58
2010-11-19,105,8.9,13.2,4.6,36.9,2.2,,2.6,7.52
2010-11-20,105,10.8,17.5,6.3,44.9,2.9,,8.2,10.14
2010-11-21,105,14.2,19.8,8.7,43.6,2.9,,8.5,10.95
2010-11-22,105,12.4,16.8,5.5,42.8,3.1,,7.2,10.67
2010-11-23,105,7.1,12.0,4.5,63.1,1.8,,2.7,7.2
2010-11-24,105,10.2,15.5,4.6,52.1,2.9,,6.9,10.71
2010-11-25,105,7.8,12.7,2.8,35.5,4.0,,7.2,10.03
2010-11-26,105,3.5,8.3,0.1,22.1,3.1,,8.0,10.25
2010-11-27,105,5.5,10.1,2.0,36.0,5.3,0.5,5.6,8.14
2010-11-28,105,2.2,8.0,-2.0,25.5,3.7,,8.6,11.15
2010-11-29,105,6.7,12.3,3.1,38.3,3.3,,7.8,10.37
2010-11-30,105,10.4,13.2,3.9,55.8,2.4,,1.9,5.98
2010-12-01,105,11.8,19.5,7.3,43.1,2.4,,8.1,9.26
2010-12-02,105,12.3,18.6,6.8,52.1,1.8,,0.2,4.55
2010-12-03,105,5.5,12.6,2.2,30.1,5.4,,7.8,10.36
2010-12-04,105,7.3,10.2,2.1,36.0,5.5,,7.6,9.96
2010-12-05,105,12.5,15.9,9.1,49.6,5.6,,7.9,9.39
2010-12-06,105,9.0,14.1,3.7,74.8,2.5,23.0,0.0,3.47
2010-12-07,105,3.4,7.4,1.5,69.1,2.0,2.0,2.4,7.01
2010-12-08,105,3.6,7.4,1.5,52.1,2.3,,0.7,6.03
2010-12-09,105,2.1,5.6,-0.6,40.0,2.4,,8.8,10.67
2010-12-10,105,6.7,12.2,0.1,36.0,2.8,,4.1,7.39
2010-12-11,105,3.3,10.3,-2.0,23.5,4.7,,8.3,10.46
2010-12-12,105,0.9,7.0,-3.8,32.3,2.1,,7.6,8.93
2010-12-13,105,4.7,6.0,0.3,65.5,1.7,0.5,0.0,1.77
2010-12-14,105,2.4,7.8,-5.5,45.0,4.0,0.5,7.5,8.89
2010-12-15,105,-5.9,-1.6,-9.1,24.6,5.6,,8.1,10.57
2010-12-16,105,-4.4,0.4,-9.3,31.0,4.0,,8.7,10.46
2010-12-17,105,0.9,5.4,-4.1,49.9,3.1,,4.1,7.3
2010-12-18,105,3.6,8.6,-1.4,27.0,3.0,,8.6,10.13
2010-12-19,105,8.4,12.8,1.7,48.5,2.4,,3.8,5.87
2010-12-20,105,10.1,16.9,7.0,29.8,3.0,,8.5,10.03
